0100000007	Genèse
1f011300bf	Ceux du midi posséderont la montagne d’Ésaü, Et ceux de la plaine le pays des Philistins; Ils posséderont le territoire d’Éphraïm et celui de Samarie; Et Benjamin possédera Galaad.
1f011400ca	Les captifs de cette armée des enfants d’Israël Posséderont le pays occupé par les Cananéens jusqu’à Sarepta, Et les captifs de Jérusalem qui sont à Sepharad Posséderont les villes du midi.
1f01150081	Des libérateurs monteront sur la montagne de Sion, Pour juger la montagne d’Ésaü; Et à l’Éternel appartiendra le règne.
2000000005	Jonas
2001010052	La parole de l’Éternel fut adressée à Jonas, fils d’Amitthaï, en ces mots:
200102006e	Lève-toi, va à Ninive, la grande ville, et crie contre elle! Car sa méchanceté est montée jusqu’à moi.
2001030108	Et Jonas se leva pour s’enfuir à Tarsis, loin de la face de l’Éternel. Il descendit à Japho, et il trouva un navire qui allait à Tarsis; il paya le prix du transport, et s’embarqua pour aller avec les passagers à Tarsis, loin de la face de l’Éternel.
2001040095	Mais l’Éternel fit souffler sur la mer un vent impétueux, et il s’éleva sur la mer une grande tempête. Le navire menaçait de faire naufrage.
20010500f0	Les mariniers eurent peur, ils implorèrent chacun leur dieu, et ils jetèrent dans la mer les objets qui étaient sur le navire, afin de se le rendre plus léger. Jonas descendit au fond du navire, se coucha, et s’endormit profondément.
200106009a	Le pilote s’approcha de lui, et lui dit: Pourquoi dors-tu? Lève-toi, invoque ton Dieu! Peut-être voudra-t-il penser à nous, et nous ne périrons pas.
200107009a	Et ils se dirent l’un à l’autre: Venez, et tirons au sort, pour savoir qui nous attire ce malheur. Ils tirèrent au sort, et le sort tomba sur Jonas.
2001080096	Alors ils lui dirent: Dis-nous qui nous attire ce malheur. Quelles sont tes affaires, et d’où viens-tu? Quel est ton pays, et de quel peuple es-tu?
2001090070	Il leur répondit: Je suis Hébreu, et je crains l’Éternel, le Dieu des cieux, qui a fait la mer et la terre.
20010a00c1	Ces hommes eurent une grande frayeur, et ils lui dirent: Pourquoi as-tu fait cela? Car ces hommes savaient qu’il fuyait loin de la face de l’Éternel, parce qu’il le leur avait déclaré.
20010b0075	Ils lui dirent: Que te ferons-nous, pour que la mer se calme envers nous? Car la mer était de plus en plus orageuse.
20010c00a1	Il leur répondit: Prenez-moi, et jetez-moi dans la mer, et la mer se calmera envers vous; car je sais que c’est moi qui attire sur vous cette grande tempête.
20010d0077	Ces hommes ramaient pour gagner la terre, mais ils ne le purent, parce que la mer s’agitait toujours plus contre eux.
20010e00c7	Alors ils invoquèrent l’Éternel, et dirent: O Éternel, ne nous fais pas périr à cause de la vie de cet homme, et ne nous charge pas du sang innocent! Car toi, Éternel, tu fais ce que tu veux.
20010f0057	Puis ils prirent Jonas, et le jetèrent dans la mer. Et la fureur de la mer s’apaisa.
2001100084	Ces hommes furent saisis d’une grande crainte de l’Éternel, et ils offrirent un sacrifice à l’Éternel, et firent des vœux.
2001110080	L’Éternel fit venir un grand poisson pour engloutir Jonas, et Jonas fut dans le ventre du poisson trois jours et trois nuits.
200201003e	Jonas, dans le ventre du poisson, pria l’Éternel, son Dieu.
2002020092	Il dit: Dans ma détresse, j’ai invoqué l’Éternel, Et il m’a exaucé; Du sein du séjour des morts j’ai crié, Et tu as entendu ma voix.
200203009d	Tu m’as jeté dans l’abîme, dans le cœur de la mer, Et les courants d’eau m’ont environné; Toutes tes vagues et tous tes flots ont passé sur moi.
2002040056	Je disais: Je suis chassé loin de ton regard! Mais je verrai encore ton saint temple.
2002050075	Les eaux m’ont couvert jusqu’à m’ôter la vie, L’abîme m’a enveloppé, Les roseaux ont entouré ma tête.
20020600ae	Je suis descendu jusqu’aux racines des montagnes, Les barres de la terre m’enfermaient pour toujours; Mais tu m’as fait remonter vivant de la fosse, Éternel, mon Dieu!
2002070095	Quand mon âme était abattue au-dedans de moi, Je me suis souvenu de l’Éternel, Et ma prière est parvenue jusqu’à toi, Dans ton saint temple.
200208004e	Ceux qui s’attachent à de vaines idoles Éloignent d’eux la miséricorde.
2002090098	Pour moi, je t’offrirai des sacrifices avec un cri d’actions de grâces, J’accomplirai les vœux que j’ai faits: Le salut vient de l’Éternel.
20020a0046	L’Éternel parla au poisson, et le poisson vomit Jonas sur la terre.
200301004f	La parole de l’Éternel fut adressée à Jonas une seconde fois, en ces mots:
200302005b	Lève-toi, va à Ninive, la grande ville, et proclames-y la publication que je t’ordonne!
2003030088	Et Jonas se leva, et alla à Ninive, selon la parole de l’Éternel. Or Ninive était une très grande ville, de trois jours de marche.
200304007e	Jonas fit d’abord dans la ville une journée de marche; il criait et disait: Encore quarante jours, et Ninive est détruite!
2003050089	Les gens de Ninive crurent à Dieu, ils publièrent un jeûne, et se revêtirent de sacs, depuis les plus grands jusqu’aux plus petits.
2003060081	La chose parvint au roi de Ninive; il se leva de son trône, ôta son manteau, se couvrit d’un sac, et s’assit sur la cendre.
20030700ce	Et il fit faire dans Ninive cette publication, par ordre du roi et de ses grands; Que les hommes et les bêtes, les bœufs et les brebis, ne goûtent de rien, ne paissent point, et ne boivent point d’eau!
20030800c5	Que les hommes et les bêtes soient couverts de sacs, qu’ils crient à Dieu avec force, et qu’ils reviennent tous de leur mauvaise voie et des actes de violence dont leurs mains sont coupables!
2003090094	Qui sait si Dieu ne reviendra pas et ne se repentira pas, et s’il ne renoncera pas à son ardente colère, en sorte que nous ne périssions point?
20030a00a8	Dieu vit qu’ils agissaient ainsi et qu’ils revenaient de leur mauvaise voie. Alors Dieu se repentit du mal qu’il avait résolu de leur faire, et il ne le fit pas.
200401002e	Cela déplut fort à Jonas, et il fut irrité.
2004020132	Il implora l’Éternel, et il dit: Ah! Éternel, n’est-ce pas ce que je disais quand j’étais encore dans mon pays? C’est ce que je voulais prévenir en fuyant à Tarsis. Car je savais que tu es un Dieu compatissant et miséricordieux, lent à la colère et riche en bonté, et qui te repens du mal.
2004030059	Maintenant, Éternel, prends-moi donc la vie, car la mort m’est préférable à la vie.
2004040034	L’Éternel répondit: Fais-tu bien de t’irriter?
20040500b6	Et Jonas sortit de la ville, et s’assit à l’orient de la ville, là il se fit une cabane, et s’y tint à l’ombre, jusqu’à ce qu’il vît ce qui arriverait dans la ville.
20040600c8	L’Éternel Dieu fit croître un ricin, qui s’éleva au-dessus de Jonas, pour donner de l’ombre sur sa tête et pour lui ôter son irritation. Jonas éprouva une grande joie à cause de ce ricin.
200407005f	Mais le lendemain, à l’aurore, Dieu fit venir un ver qui piqua le ricin, et le ricin sécha.
20040800d2	Au lever du soleil, Dieu fit souffler un vent chaud d’orient, et le soleil frappa la tête de Jonas, au point qu’il tomba en défaillance. Il demanda la mort, et dit: La mort m’est préférable à la vie.
200409007f	Dieu dit à Jonas: Fais-tu bien de t’irriter à cause du ricin? Il répondit: Je fais bien de m’irriter jusqu’à la mort.
20040a00a8	Et l’Éternel dit: Tu as pitié du ricin qui ne t’a coûté aucune peine et que tu n’as pas fait croître, qui est né dans une nuit et qui a péri dans une nuit.
20040b00cf	Et moi, je n’aurais pas pitié de Ninive, la grande ville, dans laquelle se trouvent plus de cent vingt mille hommes qui ne savent pas distinguer leur droite de leur gauche, et des animaux en grand nombre!
2100000007	Michée
21010100a6	La parole de l’Éternel fut adressée à Michée, de Moréscheth, au temps de Jotham, d’Achaz, d’Ézéchias, rois de Juda, prophétie sur Samarie et Jérusalem.
21010200b7	Écoutez, vous tous, peuples! Sois attentive, terre, et ce qui est en toi! Que le Seigneur, l’Éternel, soit témoin contre vous, Le Seigneur qui est dans le palais de sa sainteté!
210103005f	Car voici, l’Éternel sort de sa demeure, Il descend, il marche sur les hauteurs de la terre.
2101040087	Sous lui les montagnes se fondent, Les vallées s’entr’ouvrent, Comme la cire devant le feu, Comme l’eau qui coule sur une pente.
21010500cd	Et tout cela à cause du crime de Jacob, A cause des péchés de la maison d’Israël! Quel est le crime de Jacob? N’est-ce pas Samarie? Quels sont les hauts lieux de Juda? N’est-ce pas Jérusalem?…
21010600ab	Je ferai de Samarie un monceau de pierres dans les champs, Un lieu pour planter de la vigne; Je précipiterai ses pierres dans la vallée, Je mettrai à nu ses fondements.
21010700e0	Toutes ses images taillées seront brisées, Tous ses salaires impurs seront brûlés au feu, Et je ravagerai toutes ses idoles: Recueillies avec le salaire de la prostitution, Elles deviendront un salaire de prostitution…
21010800a0	C’est pourquoi je pleurerai, je me lamenterai, Je marcherai déchaussé et nu, Je pousserai des cris comme le chacal, Et des gémissements comme l’autruche.
2101090087	Car sa plaie est douloureuse; Elle s’étend jusqu’à Juda, Elle pénètre jusqu’à la porte de mon peuple, Jusqu’à Jérusalem.
21010a006c	Ne l’annoncez point dans Gath, Ne pleurez point dans Acco! Je me roule dans la poussière à Beth-Leaphra.
21010b0095	Passe, habitante de Schaphir, dans la nudité et la honte! L’habitante de Tsaanan n’ose sortir, Le deuil de Beth-Haëtsel vous prive de son abri.
21010c0089	L’habitante de Maroth tremble pour son salut, Car le malheur est descendu de la part de l’Éternel Jusqu’à la porte de Jérusalem.
21010d00ae	Attelle les coursiers à ton char, Habitante de Lakisch! Tu as été pour la fille de Sion une première cause de péché, Car en toi se sont trouvés les crimes d’Israël.
21010e007f	C’est pourquoi tu renonceras à Moréschet-Gath; Les maisons d’Aczib seront une source trompeuse Pour les rois d’Israël.
21010f0071	Je t’amènerai un nouveau maître, habitante de Maréscha; La gloire d’Israël s’en ira jusqu’à Adullam.
210110008e	Rase-toi, coupe ta chevelure, A cause de tes enfants chéris! Rends-toi chauve comme l’aigle, Car ils s’en vont en captivité loin de toi!
2102010099	Malheur à ceux qui méditent l’iniquité et qui forgent le mal Sur leur couche! Au point du jour ils l’exécutent, Quand ils ont le pouvoir en main.
21020200b3	Ils convoitent des champs, et ils s’en emparent, Des maisons, et ils les enlèvent; Ils portent leur violence sur l’homme et sur sa maison, Sur l’homme et sur son héritage.
21020300c9	C’est pourquoi ainsi parle l’Éternel: Voici, je médite contre cette race un malheur; Vous n’en préserverez pas vos cous, Et vous ne marcherez pas la tête levée, Car ces temps seront mauvais.
21020400f9	En ce jour-là, on fera de vous un sujet de sarcasme, On poussera des cris lamentables, On dira: Nous sommes entièrement dévastés! Il donne à d’autres la part de mon peuple! Eh quoi! Il me l’enlève! Il distribue nos champs à l’ennemi!…
210205006e	C’est pourquoi tu n’auras personne Qui étende le cordeau sur un lot, Dans l’assemblée de l’Éternel.
2102060072	Ne prophétisez pas! disent-ils. Qu’on ne prophétise pas de telles choses! Les invectives n’ont point de fin!
21020700bd	Oses-tu parler ainsi, maison de Jacob? L’Éternel est-il prompt à s’irriter? Est-ce là sa manière d’agir? Mes paroles ne sont-elles pas favorables A celui qui marche avec droiture?
210208009f	Depuis longtemps on traite mon peuple en ennemi; Vous enlevez le manteau de dessus les vêtements De ceux qui passent avec sécurité En revenant de la guerre.
2102090075	Vous chassez de leurs maisons chéries les femmes de mon peuple, Vous ôtez pour toujours ma parure à leurs enfants.
21020a0088	Levez-vous, marchez! Car ce n’est point ici un lieu de repos; A cause de la souillure, il y aura des douleurs, des douleurs violentes.
21020b009c	Si un homme court après le vent et débite des mensonges: Je vais te prophétiser sur le vin, sur les boissons fortes! Ce sera pour ce peuple un prophète.
21020c00d0	Je te rassemblerai tout entier, ô Jacob! Je rassemblerai les restes d’Israël, Je les réunirai comme les brebis d’une bergerie, Comme le troupeau dans son pâturage; Il y aura un grand bruit d’hommes.
21020d00ac	Celui qui fera la brèche montera devant eux; Ils feront la brèche, franchiront la porte et en sortiront; Leur roi marchera devant eux, Et l’Éternel sera à leur tête.
2103010077	Je dis: Écoutez, chefs de Jacob, Et princes de la maison d’Israël! N’est-ce pas à vous à connaître la justice?
2103020064	Vous haïssez le bien et vous aimez le mal; Vous leur arrachez la peau et la chair de dessus les os.
21030300b8	Ils dévorent la chair de mon peuple, Lui arrachent la peau, Et lui brisent les os; Ils le mettent en pièces comme ce qu’on cuit dans un pot, Comme de la viande dans une chaudière.
210304009b	Alors ils crieront vers l’Éternel, Mais il ne leur répondra pas; Il leur cachera sa face en ce temps-là, Parce qu’ils ont fait de mauvaises actions.
21030500c7	Ainsi parle l’Éternel sur les prophètes qui égarent mon peuple, Qui annoncent la paix si leurs dents ont quelque chose à mordre, Et qui publient la guerre si on ne leur met rien dans la bouche:
21030600b8	A cause de cela, vous aurez la nuit…, et plus de visions! Vous aurez les ténèbres…, et plus d’oracles! Le soleil se couchera sur ces prophètes, Le jour s’obscurcira sur eux.
2103070068	Les voyants seront confus, les devins rougiront, Tous se couvriront la barbe; Car Dieu ne répondra pas.
21030800af	Mais moi, je suis rempli de force, de l’esprit de l’Éternel, Je suis rempli de justice et de vigueur, Pour faire connaître à Jacob son crime, Et à Israël son péché.
