0100000009	Kutendeka
11091a00d6	Ni pakako, bobo busiku bwa nsikunkulu baabwinikile Purimu bafumiizie ku liina lya puri. Kyaali pa mulandu wa lupapulo lwaalembele Mordekai, ni pa mulandu wa bintu bibaamwene, ni pa mulandu wa bintu byaabakitikiile.
11091b00a8	Bayuda, ni nvyalo yabo, pamo ni bonse bailundileko, ezio nsiku ibili ya nsikunkulu baisungile ni kwikita kuba mbeela yabo kubalua mwaka pa musita wakue pasili kulekela.
11091c00c2	Ezio nsikunkulu ipalile ikabe yalangulukua lyonse pasili kulekela. Nvyalo yonse, ni mikowa yonse ili mu biputu bya kyalo, ni ili mu mizi, bapalile kuya balanguluka lyonse bobo busiku bwa Purimu.
11091d007a	Nabeeza Esta mwina Abihaili, pamo ni Mordekai Muyuda, baalembele bakonkobeziizie mu lolu lupapulo lwa bubili palua Purimu.
11091e00a4	Lupapulo lwaalembelue ni kutwalua ku Bayuda bonse mu biputu bya kyalo 127 bya mu bukolo bwakua likolo Ahasuero. Mu lupapulo mwaali twebo twa mutende ni twa kisinka,
11091f00b9	pakuti bakonkobezie ezio nsiku ya Purimu pa musita wakue, nga mwaalandiile Mordekai Muyuda ni nabeeza Esta, kabili ni kubakonkobezia palua kuizilika ni kulila, bene pamo ni nvyalo yabo.
1109200067	Mwano wakua Esta waakilile kukonkobezia palua Purimu, ni kulembua mu kitabu kya bintu byaali byakitika.
110a010071	Likolo Ahasuero wa-anine bantu bonse ba mu bukolo bwakue basonke misonko, pamo ni ba mu bilila bya mumbali lyezi.
110a02009b	Bikitua byonse byaakitile Mordekai ni buvinde bwakue bwa maka bu-aapeelue na likolo, tebyaalembelue mu kitabu kya lyasi lya makolo a ku Media ni ku Persia.
110a0300d3	Mordekai Muyuda i waali wa bubili pali likolo Ahasuero, kabili i waali muntu aweme ku Bayuda. Bayuda ba mu mukowa wakue baali bakila kumukindika pantu waali wabakitila biweme ni kulanda nabo palua kwikala bwino.
1400000007	Mapinda
140101003d	Mapinda akua Solomoni likolo wa Baizraeli, mwana mwina Daudi.
1401020065	Aza mapinda i alialengia muntu kuba ni mulangue pamo ni masambilizio, ni kumana ndubulwilo ya mukati,
140103005d	Pamo ni kumusambilizia bikitua bya mulangue, ni bya bulunghami, ni bya nsambu pamo ni biweme.
140104004e	Kabili i aliapeela babipuba mulangue, ni kupeela balumendo maano ni bukengezi,
1401050066	Evi wa mulangue onvue ni kulundiluapo masambilizio, akile kuya wali ni mulangue pamo ni nsokezi iweme,
140106006b	Pakuti enike mapinda pamo ni bipalo, ni kwinika bulanzi bwa balia bali ni mulangue pamo ni bitandiko byabo.
1401070059	Kumutiina Yawe i ntendeko ya maano, inzi babipuba balibafuupula mulangue ni masambilizio.
1401080050	We mwana wane, unvua masambilizio akua so, kabili tekufuupula mafunde akua noko.
1401090050	Pantu alikuya ali ngala ya buwame ku mutue obe, kabili nga mikufu mu mukosi obe.
14010a003d	We mwana wane, kine wabembua na bantu ba bibalo, tekwitabila.
14010b0060	Kine balanda nangue, “Iza tuye nobe, tuye tufyaminepo muntu umo asili na mulandu ni kumwipaya,
14010c0067	Tuye tubateleke bakosele nga vilivyateleka kilibu, tubateleke balingi nga balia balibakookela mu kiina.
14010d0056	Tulikusanga bunonsi bonse bwa mponvu, tulikwizuzia nghanda yetu na bintu bitulikupoka.
14010e003f	Ale iza wampane ni fwefue, byonse bitulikupoka tulikukasana.”
14010f0062	We mwana wane, tekuba waenda pamo nabo, kaania lukasa lobe tekuti luye lwapita molia mubalibapita.
140110004f	Pantu makasa abo aliakundukila ku bubi, kabili tebezi kukokola kuzuumia mulopa.
1401110034	Pantu bukila bulibwateiwa tooni twamwene, bwa mpuni.
1401120049	Baba bantu balibabenza mulopa wabo bene, balibafyamina bukose bwabo bene.
1401130065	Evi i vili mibeele ya bantu balibatokamua bunonsi bwa bupompo, bupompo bulibwaputukizia bukose bwabo.
1401140057	Mulangue aliwasamuna mu kisaakaanino kya bantu, aliwasamuna lizui lyakue pa kisisiizio.
140115004c	Aliwapunda mu mampetompeto, pa milyango ya kwingililamo mu muzi, aliwalanda.
14011600b7	“Mwe basili na maano! Mwaakaba mwatonenetonene sie kusiba na maano? Mwe ba mufuupula! Mwaakaba mwawamiinuewamiinue sie kufuupula? Mwe babipuba! Mwaakaba mwasuulilesuulile sie maano?
140117006a	Pilibuke pa mulandu wa nsokezi yane. Unvue, nene ndikumipongwela Mweo wane, ndikumibwila masambilizio ane.
140118005b	Inzi nakimikuuta, ni mwe mwakaana kwitaba, nakimyolwela kuboko kwane, temwakipoozako maano,
1401190037	Mwakipuulula nsokezi yane yonse, ni kukaana mwano wane,
14011a0059	Ni nene wenka naakaseka pa musita wa busanzo bwenu, naakamipunika musita waakeeza maavia,
14011b0073	Lubebue palukamifikila nga mwela ukata, ni lwinoono palukamifikila nga mulula, ni pamukafikilua na busanzo ni misa.
14011c003d	“Pabakankuuta, nsikaba-asuka. Baakankeba inzi tebakan'mona.
14011d0041	Pantu bakisuula maano, kabili pantu tebakisaakula kumutiina Yawe.
14011e002f	Bakisuula nsokezi yane, bakifuupula mwano wane.
14011f0055	Ni pakako, bakaba kuya balia mazabo a mu bikitua byabo, ni kwikuta nsokezi yabo bene.
140120005a	Pantu misango ibi ya bupuba yaakabeepaya, balia balibatwalilila mu bupuba, bwaakabeenoona.
1401210077	Inzi muntu aliwantwilizia wakaba kuya waikeele mu mutende, kabili wakaba kuya wateekameene pasili kutiina bibiipile.”
1402010054	We mwana wane, kine waitabila twebo twane, ni kusunga bwino mafunde ane mukati mobe,
140202004f	Pamo ni kuteya kutui kobe kuti kutwilizie mulangue, ni kunvwisia mu mutima obe,
140203003e	Kisinka kine wamukuuta mulangue, ni kumana wamuzanzwila lizui,
140204004a	Kabili kine wabakeba nga mutofue, ni kubakebelezia nga bukonto bufiikilue,
140205003f	I paulikumana vya kumutiina Yawe, ni kwinika vya kumumana Leza.
1402060055	Pantu Yawe aliwapeela bantu mulangue, mu kanua kakue mulimwafuma bukengezi ni kumana.
1402070052	Aliwabiikila balunghami bukonto, wene i kisoolelo kya balia balibaenda mu kisinka.
1402080060	Aliwalabukila nghendelo ya bantu balibakita bintu bya nsambu, ni kusunga nzila ya bazuuke bakue.
1402090066	Kine wewe wantwilizia ulikwinika bulunghami ni nsambu pamo ni kisinka. Ulikwinika kubalua nzila iweme.
14020a004f	Pantu mulangue alikwingila mu mutima obe, ni maano alikusansamusia bukose bobe.
14020b0032	Kwinika kulikukusunga, ni kumana kulikukulabukila.
14020c004d	Mulangue alikukupususia mu nzila ya babi, ni ku bantu balibalanda twebo tubi.
14020d003d	Bantu balibasia nzila ilungi pakuti bende mu nzila ya nfinzi,
14020e004b	Bantu balibawaminua kukita bibiipile, ni kusansamukila mu bupompo bwa bubi,
14020f0042	Tusansaila twabo, ni twa mampetompeto, ni nzila yabo teyololokele.
140210005c	Mulangue alikukupususia ku mwanakazi mukambue, ku mwanakazi mweni ali ni twebo twa kubembia.
1402110056	Mwanakazi aliwasia kibuza wa mu bukazyana bwakue, ni kulaba kipingo kyakua Leza wakue.
140212004e	Kisinka nghanda yakue ilungi ku lufu, ni ku bafwile i kulungheeme nzila yakue.
140213004d	Bonse balibaya kuli wene, tepali aliwabwela, ao kubwelela ku nzila ya bukose.
140214005b	Ni pakako upalile kuya waendela mu nzila ya bantu baweme, ni kukonka mibeele ya balunghami.
1402150049	Pantu balunghami baakeekala mu kyalo, ni basili na kabi baakeekalililamo.
140216003f	Inzi babi baakafumiiwa mu kyalo, ni bankitatubi baakanukuluamo.
1403010053	We mwana wane, tekuba walaba masambilizio ane, inzi sunga milao yane mu mutima obe.
140302004f	Pantu yakaba kuvuzia myaka ya bwikazi bobe, ni kukupeela mutende ni buyantanzi.
1403030069	Ntono ni bukisinka tekuti bilekenkane nobe, bikakilile mu mukosi obe, bilembe pa kibao kya mu mutima obe.
140304004d	Ni we ulikwitabilua ni kumonua waweme ku menso akua Leza ni ku menso a bantu.
140305004d	Muketekele Yawe na mutima obe onse, pasili kusintilila pa maano obe we mwine.
140306003e	Mu nzila yobe yonse, mumane wene, ni ye alikuolola nzila yobe.
140307004a	Tekwimona we mwine kuba wali ni mulangue, mutiine Yawe ni kwikeka ku bubi.
1403080046	Kukita evio kulikukuleetela bukose mu mubili, ni maka mu bikuza byobe.
1403090050	Mukindike Yawe na bunonsi bobe, mukindike na ntomono ya mu buzombozi bobe bonse.
14030a004d	Ni pakako, milue yobe yaakeezula, ni mitondo yobe yaakeezulamo divai ya lenu.
14030b0056	We mwana wane, tekuleebula nsokezi yakua Yawe, kabili tekutoobolua lu-aliwakusasilila.
14030c0049	Pantu muntu atonenue na Yawe aliwasokua, nga evelia mwana atonenue na se.
14030d0038	Lisyuko ku mwalalume aliwasanga mulangue, ni aliwainika.
14030e0060	Pantu mulangue akilile bunonsi bwa mutofue, ni kibwezia kyakue kitanine kukila kibwezia kya oro.
14030f005d	Mulangue ni wa mponvu kukila mabue a mutengo, ni byonse biuliwakeba tebivinda kulinghaniwako.
1403100062	Nsiku ingi ili mu kuboko kwakue kwa kulio, ni mu kuboko kwakue kwa kuso i muli bunonsi ni mukinzi.
1403110048	Nzila yakue, i nzila ifwaniine, ni tusansaila twakue tulungi ku mutende.
1403120065	Mulangue i kimuti kya bukose ku balia bamukwatiisie, kabili i lisyuko ku onse atwaliliile kuba nakue.
1403130055	Kupitila mu mulangue, Yawe waabiikile biputa bya kyalo, ni mu kumana waimikile myulu.
140314004b	Mu kumana kwakue, biponga byaakasanikile, ni kulengia malezi kutoonia lume.
140315006b	We mwana wane, tekulekeela mulangue ni maano kufuma pa ntanzi yobe, kwatisia maano aweme pamo ni bukengezi.
140316004f	Ni byo i bilikuya byali bukose bwa mutima obe, ni bifwanizio bya mu mukosi obe.
1403170053	Ni pakako, ulikuya wali ni mutende mu nzila yobe, ni kuulu kobe tekuya kwaipuutala.
140318003c	Musita uwalaala, teuya wali na mwezo. Ulikuona tulo twaweme.
1403190059	Tekuya wali na mwezo wa lwinoono lwa kukutulumukila, anzia kine kusanzua kwa babi kwaiza,
14031a005b	Pantu Yawe waya wali maswapi obe, ni ye waya wasungile kuulu kobe tekuti kukwatue mu muteo.
14031b004b	Tekukaana kupeela kiweme ku bantu bapalile, lu-ukili ni maka a kukita evio.
14031c0066	Tekumwana mwinobe nangue, “Endo, ukeeze lukeele mane nkakupeele” Koku kintu kya kumupeela wakwete.
14031d003b	Tekukitila mwinobe mapange abi, olia ekeele waakuketekeele.
14031e0043	Tekusongela muntu pasili mulandu, kine takitile kantu ka kukukisia.
14031f004f	Tekumwena bunkua muntu aliwakyuzyania, ni pa nzila yakue tekusaakulapo ata imo.
140320005e	Pantu Yawe asuulile muntu aliwakita bibiipile, inzi wene ni kibuza wa balia balibakita biweme.
1403210056	Ntiipu yakua Yawe ili mu nghanda mwa mubi, inzi Yawe aliwapaala nghanda ya mulunghami.
140322004c	Aliwafuupula balia bali ni mufuupula, inzi aliwapeela buwame ku bekeefiizie.
1403230049	Bali ni mulangue balibapyana bulumba, inzi babipuba balibamoniiwa busoni.
140401004c	Mwe baana bane, unvue mafunde akua sinue, kabili twilizie evi mube ni maano.
1404020044	Pantu ndimukumipeela mafunde aweme, tekuti mukasie masambilizio ane.
140403004d	Lunaali mwana mu nghanda yakua tawe, nakili kalala, mwana lyonga wakua yangu.
1404040080	Tawe waali wansambilizia walanda nangue, “Mutima obe uye walanguluka twebo twane, sunga milao yane, ni we ulikuya wali mukose.
1404050056	Ba wali ni mulangue, ba wali ni kyunvwila tekulaba ao kukaana twebo twa mu kanua kane.
1404060046	Tekumusia mulangue, ni ye alikukulabukila, mutone, ni ye alikukusunga.
140407007a	Ntendeko ya mulangue ni ezi: Ba wali ni mulangue. Anzia uzeeziiziapo byonse bi-uli nabio, kya mponvu ba wali ni kyunvwila.
1404080043	Mukindike, ni ye alikukukindika. Kine wamukumbatila alikukukindika.
1404090058	Alikukupeela buwame kuba kitambala ku mutue obe, alikukufwanizia na ngala ya bulumba.”
14040a0052	Twilizia we mwana wane, itabila bindimukulanda, ni myaka ya bukose bobe ilikuvula.
14040b004b	Nakusambilizia nzila ya mulangue, nakulombola mu tusansaila twa bulunghami.
14040c0048	Luuliwaenda, lutanfu lobe telukilinghaniiwa. Kine wakunduka tewipuutala.
14040d004a	Kwatisia mafunde, pasili ku-aleka aye, akwatisia, pantu ene i bukose bobe.
14040e003d	Tekwingila mu nzila ya babi, tekukonka mibeele ya bantu babi.
14040f003b	Leya ezio nzila, kabili tekwendamo, isie uye mu nzila yobe.
1404100060	Pantu tebezi kulaala kine tebanakitenke bubi, ni tulo tetwizi kuoneka kine tebanapuutazie muntu.
1404110034	Pantu bubi i bilio byabo. Nghemo ikata i divai yabo.
1404120055	Nzila ya balunghami ili nga kisue kya ku makia, kilikyailundilako mpaka bwakiililila.
140413004c	Inzi nzila ya babi ili nga nfinzi ikata, ni kilikyabeepuutazia tebakimanine.
1404140048	We mwana wane, pooza maano ku bindimukulanda, teya kutui ku twebo twane.
1404150036	Tekubifumia pa menso obe, bisunge bwino mu mutima obe.
140416004f	Pantu i bukose ku muntu aliwabisyukila. Kabili i kutuuka kwa mubili wakue onse.
1404170055	Sunga mutima obe kukila byonse biuliwasunga, pantu i mulimwafuma byonse bi-uliwakita.
1404180051	Sunga kanua kobe ku twebo twa bukisanguka, ni milomo ya kiitoni ibe kule ni wewe.
1404190039	Menso obe akente ku ntanzi, ni nkopio yobe pasili kukapa.
14041a0047	Pooza maano mulimwapita makasa obe, ni nzila yobe yonse iwamiiwe bwino.
14041b0037	Tekupilibukila kulio ao kuso, fumia kuulu kobe mu bubi.
1405010042	We mwana wane, unvua mulangue wane, teya kutui ku twebo twa maano.
140502003c	Evi uye wavinda kwinika biweme, ni milomo yobe isunge maano.
1405030062	Pantu milomo ya mwanakazi mukambue, iliyatoonia kapelo, ni bulanzi bwakue buteleele kukila mafuta.
140504006d	Inzi mpeleezio ya bulanzi bwakue ilulile kukila kimuti kiluliisie, ni kunooneka nga kipanga kya mindyakubili.
1405050042	Makasa akue alimukuya akookela ku lufu, ntanfu yakue ilungi kumbo.
140506004e	Kabili tasakameene nzila ya bukose. Nzila yakue ipotonkeene, kabili taimanine.
1405070047	Ni pakako, mwe baana bane ntwilizie, kabili tekufume mu bindimukulanda.
1405080055	Nzila yobe ilekenkane kule ni wene, kabili tekupalamina ku mulyango wa nghanda yakue.
140509004a	Ukeeza kupeela bange mukinzi obe, ni myaka yobe ku balia basili na nkumbu.
14050a005a	Baeni bakeeza kwikusiiwa na maka obe, ni miilo yobe ikeeza kuya yali mu nghanda mwa mweni.
14050b0052	Ku mpeleezio ya bukose bobe waakaloosia, musita waakeenoonua munofu ni mubili obe.
14050c0053	Waakalanda nangue, “Ale naasuuliileki masambilizio? Ale naafuupwiliileki nsokezi?
14050d0045	Nsyaanakiile bakasambilizia bane, ni kubatwilizia balia balibanfunda!
14050e0050	Naali nasyaumiine kwingila mu bwavia bukata, mu libumba lya bantu bakua Leza.”
14050f005a	Mina menda a mu nsupa yobe we mwine, menda aliapita lubilo kufuma mu kiina kyobe we mwine.
140510005b	Ale tusulo tobe twa menda tulikusalanghaninaki mu misebo? Ni twezi twa menda kuya kiyeyeye?
1405110031	Aye ali sie obe we bunke, pasili kupeelako baeni.
1405120045	Kasulo kobe kapaalue, kabili uwaminue na mukazi wa mu bulumendo bobe,
1405130084	Aweme nga nswala, ni kufwanina nga kasia, mabeele akue aye akuwamiine nsiku yonse, kabili uye wawamiinue nsiku yonse mu ntono yakue.
140514008b	Ale ni kiki kilikukulengia we mwana wane kuti uwaminue na muka nghwana? Ale ni kiki kilikukulengia kukumbatila nkulo ya mwanakazi mukambue?
140515004d	Pantu nzila yobe ili ku menso akua Yawe, ni ye aliwatoosia monse muuliwapita.
1405160053	Mubi aliwakwatua na bubi bwakue mwine. Ni ye aliwakakua na nkamba ya bibalo byakue.
1405170052	Aliwafua pa mulandu wakubula masambilizio, ni bupuba bwakue bukata bulibwamulovia.
140601005c	We mwana wane, kine waipeele kulipa mizia ya mwino, kabili kine waalaile palwakua ozo muntu,
140602004d	Kine uteelue na biuliwalanda, kabili kine ukwetue na twebo twa mu kanua kobe.
1406030073	We mwana wane, pakuti wipususie, pantu waibiikile mu maboko a mwino, kita evi: Endo wikeefie ni kumupaapaata mwino.
1406040038	Tekulekeela menso obe kunvua tulo, ni nkopio yobe kuona.
1406050058	Iipususie nga kasia kapusuka mu minue ya mbwela, ao nga koni kapusuka mu minue ya mutei.
1406060049	Endo waya pa lupazi we munanghani, langakana nzila yakue ube ni mulangue.
1406070034	Lupazi teluli na kalombozi, na mukulu-ao na kateeka.
1406080072	Inzi lulilwaibiikila bilio bya pa musita wa likungulu, kabili lulilwaikolonghaniizia bilio pa musita wa buzombozi.
1406090056	We munanghani! Waya waleeleleele sie mpaka musitaki? Ulikubuuka musitaki mu tulo tobe?
14060a006a	Uliwalanda nangue, “Ndaalenkepo kaniini, nghonenkepo kaniini, nkunzenkepo kuboko kaniini ni kutuuzia.”
14060b0068	Ni evi bupabi bwakaba kukwizila nga kabooko, ni kubulua kwakaba kukukonka nga kipoopoosi ali ni kilwilo.
14060c0049	Muntu mubi, muntu wa mpuni, aliwaendooka walimukulanda twebo twa bupompo.
14060d0055	Aliwakapia na menso akue ni kusinia na makasa akue, aliwakita tulangi na minue yakue.
14060e005d	Mu mutima mwakue muli bupompo, aliwalangakana bubi musita onse, ni kubyala mbezu ya bupusano.
14060f0062	Ni pakako, bwavia bwaakamutulumukilila sie, waakatulumukililua ni kutyonua pasili kumona ntuukilo.
140610004f	Kuli bintu mutanda bisuulilue na Yawe, ee, bintu kilooba bilibyamukisia mutima.
1406110055	Menso a kiitoni, lulimi lulilwalanda bufi, ni minue iliyazuumia mulopa usili na kafi,
1406120048	Mutima uliwalangakana malanga abi, ni maulu angukile kubutukila ku bubi,
1406130053	Musininkizi wa bufi aliwalanda bufi, ni olia aliwabyala mbezu ya mbiikizi mu lupua.
1406140059	We mwana wane, konka milao yakua so, kabili tekuti ukabe kulekela masambilizio akua noko.
140615003a	Kakilila milao lyonse mu mutima obe, ivwale mu mukosi obe.
1406160063	Luuliwaenda, milao yaya yakulombwele, lu-uliwalaala yaya ya kusungile. Ni kukulanzia lu-uliwabuuka.
1406170063	Pantu ezi milao i musaniko, aza masambilizio i kisue, ni nsokezi ya masambilizio i nzila ya bukose.
1406180048	I bya kukusunga ku mwanakazi mubi, ni ku lubembo lwa mwanakazi mukambue.
1406190061	Tekutokamua mu mutima obe na kuwama kwakue, kabili tekulekelela akubembe na nkopio ya menso akue.
14061a0080	Pantu mwanakazi mukambue kuti waongua na mutengo wa kisoso kya mukate, inzi pa muka nghwana aliwazeeziiziapo bukose bwine bwine.
14061b004f	Eba, kubako muntu kuti wabiika mulilo mu nkulo, ni bivwalo byakue pasili kuzia?
14061c0052	Ao muntu kuti wanyanta lukasa pa mazekezeke a mulilo, ni makasa akue pasili kuzia?
14061d005c	Evi i vili muntu aliwaingila kwa muka nghwana, kubalua muntu aliwamukumia takabula kukandua.
14061e0049	Bantu tebezi kumufuupula kabooko kine waibila kwikuta pantu ali ni nzala.
14061f006a	Inzi kine wakwatua, alikubweziiziamo nghendo kilooba, ni ye alikufumia bunonsi bonse bwa mu nghanda yakue.
1406200077	Inzi olia aliwakita bukambue na mwanakazi, tali na maano. Olia aliwatona kwinoona mutima wakue mwine, i aliwakita evio.
1406210048	Wene waakaaluka ni bilonda ni busoni, ni kulandilua bibiipile tekukapua.
1406220060	Pantu bunkua bulibwamuleetela mulume kipuki. Ni ye takaba na nkumbu busiku bwa kukita kibwelezi.
1406230054	Takeetabila nfuto ata imo, kabili takeetabila bituulilo anzia kine bikabe byavulile.
1407010042	We mwana wane, sunga twebo twane, labukila milao yane mukati mobe.
1407020058	Konka milao yane ukabe ni bukose, ni kusunga mafunde ane nga kambooli ka mu linso lyobe.
140703003f	Kakila milao ku minue yobe, uilembe pa kibao kya mu mutima obe.
140704005f	Ana mulangue nangue, “Uli nkazyamwine,” ni kumwana kyunvwila nangue, “Uli lupua lwane.”
140705005f	Evi bakusunge ku mwanakazi mukambue, ni ku kuleula ku muka nghwana aliwabembia na twebo twakue.
1407060038	Pantu pa nzota ya mu nghanda yane naakentele mu kisampi.
1407070049	Naamwene pa babipuba, pa balumendo nainikilepo mulumendo asimanine kantu.
1407080063	Mulumendo waali waya mu musebo ukata pepi ni lipeto, walungi ku nghanda kulikwaikala mwanakazi umo.
1407090045	Koba kasyazimiine, musita wa kyungulo, pasyafiita, pa kamuntu uli ni.
14070a005b	Kupwako, mwanakazi umo waya kusaakaana nakue, wavwele nga mukende ali ni mutima wa bupompo.
14070b004f	Mwanakazi ali ni nsungu ni butaale, makasa akue tekuba azikia mu nghanda yakue.
