0100000008	Ebandeli
290f10006b	Basoda bakumbaki Yesu kati na ndako ya moyangeli, na esambiselo, mpe basangisaki lisanga mobimba ya basoda.
290f110045	Balatisaki Yesu nzambala ya motane mpe ekoti oyo basalaki na banzube;
290f12003c	mpe babandaki kopesa ye mbote: «Mbote, mokonzi ya Bayuda!»
290f130080	Bazalaki kosalela lingenda moke mpo na kobeta Ye na moto, bazalaki kobwakela Ye soyi mpe kofukama mpo na kogumbama liboso na Ye.
290f140090	Sima na bango kosakanela Ye, balongolaki Ye nzambala ya motane, balatisaki Ye lisusu bilamba na Ye mpe bakumbaki Ye mpo na kobaka Ye na ekulusu.
290f1500ab	Bakangaki na makasi moleki nzela moko oyo awutaki na bilanga, mpo ete amema ekulusu ya Yesu; kombo na ye ezalaki Simona, moto ya Sirene mpe tata ya Alekizandre mpe Rifisi.
290f16005e	Bamemaki Yesu na esika oyo babengaka «Gologota,» oyo elingi koloba: esika ya mokuwa ya moto,
290f170045	bapesaki Ye masanga ya vino basangisa na mire, kasi amelaki yango te.
290f18006b	Babakaki Ye na ekulusu, mpe bakabolaki bilamba na Ye, na kobeta zeke mpo na koyeba oyo moko na moko akozwa.
290f190033	Babakaki Ye na ekulusu na ngonga ya libwa ya tongo.
290f1a0055	Tala makomi oyo ezalaki kotalisa mpo na nini bakatelaki Ye etumbu: Mokonzi ya Bayuda.
290f1b0099	Babomi mibale ya bato babakamaki na ba-ekulusu elongo na Yesu: moko, na ngambo ya loboko ya mobali ya Yesu; mosusu, na ngambo ya loboko na Ye ya mwasi. [
290f1c0061	Ezali boye nde ekokisamaki Makomi oyo ezali koloba: «Batangaki Ye na molongo ya bato ya mabe.»]
290f1d0094	Baleki nzela bazalaki kofinga Ye na koningisa mito na bango; bazalaki koloba: — Yo oyo okobuka Tempelo mpe okotonga yango lisusu na mikolo misato,
290f1e002c	mibikisa yo moko mpe kita longwa na ekulusu!
290f1f0098	Bakonzi ya Banganga-Nzambe elongo na balakisi ya Mobeko bazalaki mpe kotiola kati na bango: — Abikisaki bato mosusu, kasi ye moko akoki komibikisa te!
290f2000ae	Tika ete Klisto, Mokonzi ya Isalaele, akita sik’oyo longwa na ekulusu, mpo ete tomona mpe tondima! Bato oyo babakamaki elongo na Yesu na ba-ekulusu bazalaki mpe kofinga Ye.
290f21005e	Kobanda na ngonga ya midi kino na ngonga ya misato ya pokwa, molili ekotaki na mokili mobimba.
290f2200a1	Na ngonga yango ya misato ya pokwa, Yesu agangaki: — Eloi, Eloi, lema sabachtani? Elingi koloba: «Nzambe na Ngai, Nzambe na Ngai, mpo na nini osundoli Ngai?»
290f23006e	Kati na bato oyo batelemaki wana, ndambo bayokaki Yesu; boye bakomaki koloba: — Boyoka, azali kobenga Eliya!
290f2400c4	Moto moko akimaki mbangu, azindisaki eponze moko na vino ya ngayi, atiaki eponze yango na songe ya mwa nzete mpe apesaki yango Yesu mpo ete amela; alobaki: — Totala soki Eliya akoya kokitisa ye.
290f25002d	Kasi Yesu agangaki makasi mpe akataki motema.
290f260049	Rido ya Tempelo epasukaki na biteni mibale, kobanda na likolo kino na se.
290f270094	Mpe tango mokonzi ya basoda ya Rome, oyo atelemaki liboso ya Yesu, amonaki ndenge Yesu akufaki, alobaki: — Moto oyo azalaki penza Mwana na Nzambe!
290f2800a2	Ezalaki mpe na basi oyo bazalaki kotala na mosika. Kati na basi yango, ezalaki na Mari, moto ya Magidala; Mari, mama ya Jake oyo ya elenge, ya Joze mpe ya Salome;
290f290093	oyo bazalaki kolanda Yesu mpe kosunga Ye tango azalaki kati na Galile; ezalaki mpe na basi mosusu ebele oyo bakendeki na Yelusalemi elongo na Yesu.
290f2a0077	Wana pokwa ekomaki, lokola ezalaki mokolo ya komilengela mpo ete etikalaki ngonga moke mpo na kokota na mokolo ya Saba,
290f2b00c0	Jozefi, moto ya mboka Arimate, oyo azalaki moto ya lokumu kati na Likita-Monene ya Bayuda mpe azalaki kozela Bokonzi ya Nzambe, abangaki te kokende epai ya Pilato mpo na kosenga nzoto ya Yesu.
290f2c0081	Pilato akamwaki tango ayokaki ete Yesu asilaki kokufa; abengaki mokonzi ya basoda mpo na kotuna ye soki solo Yesu asilaki kokufa.
290f2d0070	Tango ayokaki na monoko ya mokonzi ya basoda ete ezali bongo, apesaki Jozefi ndingisa ya kokamata nzoto ya Yesu.
290f2e00fa	Jozefi asombaki liputa ya lino, akitisaki nzoto ya Yesu longwa na ekulusu, alingaki yango na liputa yango; atiaki nzoto yango kati na kunda oyo batobolaki kati na libanga moko ya monene, mpe atindikaki libanga mosusu liboso ya ekotelo ya kunda yango.
290f2f0065	Mari, moto ya mboka Magidala, mpe Mari, mama ya Joze, bazalaki kotala esika oyo akotia nzoto ya Yesu.
29100100b6	Tango mokolo ya Saba elekaki, Mari, moto ya mboka Magidala, mpe Mari, mama ya Jake mpe Salome, basombaki mafuta ya solo kitoko mpo na kokende kokawusa nzoto ya Yesu mpo ete ebeba te.
2910020058	Na tongo-tongo ya mokolo ya liboso ya poso, wana moyi ebandi kobima, bakendeki na kunda.
2910030068	Bazalaki kotunana kati na bango: — Nani akotindikela biso libanga mpo ete elongwa na ekotelo ya kunda?
29100400a0	Mpe tango batombolaki miso, bamonaki ete libanga esilaki kotindikama mpe ezalaki lisusu te na ekotelo ya kunda; nzokande, libanga yango ezalaki ya monene penza.
2910050094	Sima na bango kokota kati na kunda, bamonaki elenge mobali moko, avandi na ngambo ya loboko ya mobali, alata nzambala ya pembe; somo ekangaki bango.
2910060099	Kasi alobaki na bango: — Bobanga te! Bozali koluka Yesu ya Nazareti, oyo babakaki na ekulusu? Azali awa te, asili kosekwa. Botala esika oyo batiaki Ye.
2910070092	Bokende sik’oyo koyebisa Petelo mpe bayekoli mosusu: «Akei liboso na bino, na Galile; ezali kuna nde bokomona Ye, ndenge kaka ayebisaki bino.»
29100800cb	Babimaki na lombangu mpe bakimaki mosika ya kunda ya Yesu, pamba te bango nyonso bazalaki kolenga na somo, mpe makanisi na bango epalanganaki. Balobaki eloko te na moto nyonso, pamba te bazalaki kobanga.
29100900ed	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) Na tongo ya mokolo ya liboso ya poso, tango Yesu asekwaki, abimelaki liboso Mari, moto ya mboka Magidala, oyo, kati na ye, Yesu abenganaki milimo mabe sambo.
29100a0072	Bongo Mari akendeki koyebisa bato oyo batambolaki elongo na Yesu; akutaki bango batondi na mawa mpe bazali kolela.
29100b005d	Kasi tango bayokaki ye koloba: «Yesu azali na bomoi, awuti kobimela ngai,» bandimaki ye te.
29100c0065	Sima na yango, Yesu abimelaki mibale kati na bango na lolenge mosusu, wana bazalaki kokende na mboka.
29100d005f	Bazongaki mpe bayebisaki yango epai ya bayekoli mosusu; kasi bayekoli yango bandimaki bango te.
29100e00de	Sima na yango, abimelaki bantoma zomi na moko, wana bazalaki kolia, mpe apamelaki bango mpo ete bazalaki na kondima te, mpe mpo ete bazalaki mitema mabanga; pamba te bandimaki te bato oyo bamonaki Ye sima na lisekwa na Ye.
29100f0055	Alobaki na bango: — Bokende na mokili mobimba, mpe boteya bato nyonso Sango Malamu.
2910100057	Moto oyo akondima mpe akozwa libatisi akobika, kasi moto oyo akondima te akozwa etumbu.
2910110070	Tala bilembo oyo ekolanda bato oyo bakondima: na Kombo na Ngai, bakobengana milimo mabe; bakoloba nkota ya sika,
291012009e	bakokanga banyoka na maboko na bango; mpe soki bameli ngenge, ekosala bango pasi ata moke te; bakotiela babeli maboko, mpe babeli bakobika na bokono na bango.
2910130072	Sima na Nkolo Yesu koloba na bango, amemamaki kati na Likolo mpe avandaki na ngambo ya loboko ya mobali ya Nzambe.
29101400b3	Bayekoli bakendeki koteya na bisika nyonso. Nkolo azalaki kosala elongo na bango mpe azalaki kokokisa liloba na Ye na nzela ya bilembo ya kokamwa oyo ezalaki kolanda liloba na Ye.
2a00000004	Luka
2a0101003c	Bato mingi bamekaki kokoma makambo oyo elekaki kati na biso,
2a01020083	kolanda ndenge bayebisaki biso yango na bato oyo, wuta na ebandeli, bamonaki yango na miso mpe bakomaki basali ya Liloba na Nzambe.
2a010300d2	Yango wana, ngai mpe, sima na ngai kotuna-tuna mpo na koluka koyeba malamu makambo nyonso, banda na ebandeli, namonaki lisusu ete ezali malamu mpo na ngai kokomela yo yango ndenge elandanaki, Teofile ya lokumu,
2a0104002c	mpo ete oyeba bosolo ya malakisi oyo ozwaki.
2a010500d6	Na tango oyo Erode azalaki mokonzi ya Yuda, ezalaki na Nganga-Nzambe moko, kombo na ye ezalaki «Zakari;» azalaki moko kati na Banganga-Nzambe ya lisanga ya Abiya. Mwasi na ye, Elizabeti, azalaki mokitani ya Aron.
2a01060085	Bango mibale bazalaki bato ya sembo liboso ya Nzambe, bazalaki kotosa, na ndenge esengeli, mibeko nyonso mpe mitindo nyonso ya Nkolo.
2a01070060	Kasi bazalaki na mwana te, pamba te Elizabeti azalaki ekomba; mpe bango mibale bakomaki mibange.
2a01080085	Mokolo moko, wana Zakari azalaki kosala mosala na ye lokola Nganga-Nzambe, liboso ya Nzambe, pamba te ezalaki ngala ya lisanga na ye,
2a01090085	aponamaki na zeke, kolanda momesano ya bonganga-Nzambe, mpo na kokota kati na Esika ya bule ya Nkolo mpe kotumba kuna malasi ya ansa.
2a010a006a	Tango ekomaki ngonga ya kotumba malasi ya ansa, lisanga mobimba ya basambeli ezalaki kosambela na libanda.
2a010b006f	Bongo anjelu moko ya Yawe abimelaki ye ya kotelema na ngambo ya loboko ya mobali ya etumbelo ya malasi ya ansa.
2a010c0046	Tango Zakari amonaki ye, abangaki makasi, mpe somo monene ekangaki ye.
2a010d00a3	Kasi anjelu alobaki na ye: — Zakari, kobanga te! Nzambe ayoki mabondeli na yo. Mwasi na yo, Elizabeti, akobotela yo mwana mobali, mpe okopesa ye kombo «Yoane.»
2a010e006d	Mwana yango akosala esengo na yo, mpe okosepela na ye makasi; mpe bato ebele bakosepela mpo na mbotama na ye,
2a010f009d	pamba te akozala moto monene na miso ya Nkolo. Akomela te ezala vino to masanga ya makasi, mpe akozala atonda na Molimo Mosantu wuta na libumu ya mama na ye.
2a01100041	Akozongisa bato ebele ya Isalaele epai ya Nkolo, Nzambe na bango,
2a01110104	mpe akotambola liboso ya Nzambe, elongo na molimo mpe nguya oyo ezalaki kovanda kati na Eliya, mpo na kozongisa boyokani kati na batata mpe bana na bango, mpo na kosala ete batomboki bakoma kokanisa lokola bato ya sembo, mpe mpo na kobongisa bato mpo na Nkolo.
2a011200a3	Zakari atunaki anjelu: — Ndenge nini nakoki koyeba ete ezali ya solo? Pamba te, ngai, nazali mobange, mpe mibu ya mbotama ya mwasi na ngai esili kopusana makasi.
2a01130090	Anjelu azongiselaki ye: — Nazali Gabrieli; natelemaka liboso ya Nzambe oyo atindi ngai mpo na koyebisa yo mpe kopesa yo basango oyo ya malamu.
2a011400ae	Lokola ondimeli maloba na ngai te, oyo ekokokisama solo na tango na yango oyo ekatama, okokoma baba mpe okokoka lisusu koloba te kino na mokolo oyo makambo yango ekokokisama.
2a01150077	Na tango yango, bato bazalaki kozela Zakari mpe komituna mpo na nini azali kowumela tango molayi kati na Esika ya bule.
2a011600c1	Tango abimaki, azalaki lisusu te na makoki ya koloba na bango; boye basosolaki ete azwi emoniseli kati na Esika ya bule, pamba te akomaki koloba na bango na nzela ya bilembo mpe atikalaki baba.
2a0117003e	Tango mikolo na ye ya mosala ekokaki, azongaki na ndako na ye.
2a01180057	Sima na mwa tango, mwasi na ye, Elizabeti, akomaki na zemi mpe abombamaki sanza mitano.
2a01190094	Azalaki komilobela: «Tala likambo oyo Nkolo asali mpo na ngai! Na mikolo oyo, atalisi ngai ngolu na Ye mpe alongoli soni na ngai na miso ya bato.»
2a011a007c	Sima na basanza motoba, Nzambe atindaki anjelu Gabrieli kati na engumba moko ya Galile, kombo na yango ezalaki «Nazareti.»
2a011b00ac	Atindaki ye epai ya elenge mwasi Mari oyo ayebaki nanu nzoto ya mibali te mpe azalaki mobandami ya libala na mobali moko oyo kombo na ye ezalaki Jozefi, mokitani ya Davidi.
2a011c007a	Anjelu akotaki epai ya Mari mpe alobaki na ye: — Mbote na yo, yo oyo osili kozwa ngolu monene! Nkolo azali elongo na yo!
2a011d006c	Tango Mari ayokaki maloba ya anjelu, amitungisaki makasi mpe akomaki komituna soki mbote yango elakisi nini.
2a011e0052	Kasi anjelu alobaki na ye: — Mari, kobanga te! Pamba te Nzambe asaleli yo ngolu!
2a011f0040	Okozwa zemi, okobota mwana mobali mpe okopesa Ye kombo «Yesu.»
2a01200083	Akozala Moto monene, mpe bakobenga Ye: Mwana ya Ye-Oyo-Aleki-Likolo. Nkolo Nzambe akopesa Ye kiti ya bokonzi ya Davidi, koko na Ye.
2a01210058	Akozala Mokonzi ya libota ya Jakobi mpo na libela, mpe bokonzi na Ye ekozala na suka te.
2a01220058	Mari atunaki anjelu: — Ekosalema ndenge nini, pamba te nayebi nanu nzoto ya mibali te?
2a012300ac	Anjelu azongiselaki ye: — Molimo Mosantu akokitela yo, mpe nguya ya Ye-Oyo-Aleki-Likolo ekozipa yo na elilingi na Ye. Boye Mosantu oyo okobota akobengama Mwana na Nzambe.
2a012400aa	Ndeko na yo ya mwasi, Elizabeti, azali mpe na zemi; akobota mwana mobali, atako akomi mobange. Ye oyo bazalaki kobenga «ekomba» akomi sik’oyo na zemi ya sanza motoba.
2a01250024	Pamba te Nzambe alembanaka eloko te.
2a0126007f	Mari azongiselaki ye: — Nazali mwasi mowumbu ya Nkolo, tika ete maloba na yo ekokisamela ngai! Bongo anjelu akabwanaki na ye.
2a01270070	Sima na mwa mikolo, Mari atelemaki mpe akendeki na lombangu, na engumba moko kati na mokili ya bangomba ya Yuda.
2a0128003d	Kuna, akotaki na ndako ya Zakari mpe apesaki Elizabeti mbote.
2a0129007b	Tango kaka Elizabeti ayokaki mbote ya Mari, mwana aninganaki kati na libumu na ye. Elizabeti atondisamaki na Molimo Mosantu
2a012a007b	mpe agangaki na mongongo makasi: — Ozali ya kopambolama kati na basi, mpe esengo na mwana oyo azali kati na libumu na yo!
2a012b003d	Ngai nde nani mpo ete mama ya Nkolo na ngai aya epai na ngai?
2a012c0059	Pamba te, tango kaka nayoki mbote na yo, mwana aningani na esengo kati na libumu na ngai.
2a012d0046	Esengo na mwasi oyo andimaki ete Nkolo akokokisa elaka oyo apesaki ye!
2a012e003c	Bongo Mari alobaki: — Molimo na ngai ezali kokumisa Nkolo,
2a012f0036	mpe natondi na esengo mpo na Nzambe, Mobikisi na ngai,
2a0130008e	pamba te atali kozanga lokumu ya mwasi mowumbu na Ye. Yango wana, kobanda lelo, bato ya tango nyonso bakobanda kobengaka ngai mwasi ya esengo,
2a01310054	pamba te Nzambe-Na-Nguya-Nyonso asaleli ngai makambo minene; Kombo na Ye ezali Bule.
2a01320041	Atalisaka boboto na Ye tango nyonso epai ya bato oyo batosaka Ye.
2a01330051	Asali misala minene na nguya ya loboko na Ye, apanzi bato oyo batonda na lolendo,
2a01340058	akitisi bakambi wuta na bakiti na bango ya bokonzi, kasi atomboli bato oyo bamikitisaka.
2a01350059	Atondisi na biloko ya malamu bato oyo bazalaki na nzala, mpe azongisi bazwi maboko pamba.
2a01360046	Solo, asungi Isalaele, mosali na Ye, abosani te kotalisa boboto na Ye,
2a0137006e	ndenge alakaki yango epai ya bakoko na biso, epai ya Abrayami mpe epai ya bakitani na ye, mpo na tango nyonso.
2a01380055	Mari avandaki basanza pene misato elongo na Elizabeti; sima, azongaki na ndako na ye.
2a01390049	Wana eleko oyo Elizabeti asengelaki kobota ekokaki, abotaki mwana mobali.
2a013a0069	Baninga mpe bandeko ya Elizabeti bayokaki ete Nkolo asaleli ye ngolu monene, mpe basepelaki na ye elongo.
2a013b0080	Na mokolo ya mwambe, sima na mbotama ya mwana, bakendeki kokatisa mwana ngenga; balingaki kopesa ye kombo ya tata na ye, Zakari.
2a013c0039	Kasi mama na ye alobaki: — Te! Kombo na ye ezali Yoane.
2a013d005e	Kasi balobaki na ye: — Ezali na moto moko te, kati na libota na yo, oyo azali na kombo wana.
2a013e006b	Bongo batunaki tata ya mwana, na nzela ya bilembo, mpo ete bayeba soki kombo nini alingaki kopesa na mwana.
2a013f0060	Zakari asengaki mwa libaya mpe akomaki: «Kombo na ye ezali Yoane.» Mpe bango nyonso bakamwaki.
2a01400072	Mbala moko, monoko ya Zakari efungwamaki mpe lolemo na ye ekangolamaki; akomaki lisusu koloba mpe kokumisa Nzambe.
2a01410084	Baninga na bango nyonso ya pembeni batondaki na somo mpe bazalaki kolobela makambo yango nyonso, kati na mokili ya bangomba ya Yuda.
2a0142009a	Bato nyonso oyo bayokaki sango yango bazalaki kokamwa yango mpe komituna: «Yango mwana oyo akozala nani?» Pamba te loboko ya Nkolo ezalaki elongo na ye.
2a01430048	Tata na ye, Zakari, atondisamaki na Molimo Mosantu mpe akomaki kosakola:
2a01440057	«Tika ete Nkolo, Nzambe ya Isalaele, akumisama, pamba te ayei mpe akangoli bato na Ye;
2a01450049	abimiseli biso Mobikisi ya nguya, kati na libota ya Davidi, mosali na Ye;
2a0146004c	akokisi elaka na Ye, oyo apesa wuta kala na nzela ya basakoli na Ye ya bule,
2a01470053	lobiko liboso ya banguna na biso, mpe kokangolama wuta na maboko ya bayini na biso;
2a0148004f	atalisi boboto na Ye epai ya bakoko na biso mpe akanisi Boyokani na Ye ya bule;
2a01490040	akokiseli biso ndayi oyo alapaki epai ya Abrayami, koko na biso,
2a014a0066	ete akokangola biso na maboko ya banguna na biso, mpe akopesa biso nzela ya kosalela Ye na kobanga te,
2a014b004a	kati na bosantu mpe bosembo, liboso na Ye, mikolo nyonso ya bomoi na biso.
2a014c008a	Bongo yo, mwana na ngai, bakobenga yo: mosakoli ya Ye-Oyo-Aleki-Likolo; pamba te okotambola na liboso ya Nkolo mpo na kobongisela Ye nzela
2a014d0059	mpe mpo na koyebisa bato na Ye ete Nzambe akobikisa bango mpe akolimbisa masumu na bango,
2a014e006e	mpo na mawa mpe boboto ya Nzambe na biso, oyo na nzela na yango moyi ya tongo ekongengela biso wuta na likolo,
2a014f0097	mpo na kopesa pole na bato nyonso oyo bavandi kati na molili mpe kati na elili ya kufa, mpe mpo na kotambolisa makolo na biso kati na nzela ya kimia.»
2a01500097	Mwana azalaki kokola, mpe molimo na ye ezalaki kokemba; azalaki kovanda kati na bisobe kino na mokolo oyo ayaki komimonisa na miso ya bato ya Isalaele.
2a0201009c	Na tango wana, Sezare Ogisite abimisaki mobeko ya kotanga motango ya bato nyonso oyo bazalaki kovanda na mikili nyonso oyo ezalaki na se ya bokonzi ya Rome.
2a0202005d	Ezalaki mbala ya liboso ya kotanga motango ya bato, wana Kiriniusi azalaki moyangeli ya Siri.
2a0203004c	Bato nyonso bazalaki kokende komikomisa, moto na moto kati na engumba na ye.
2a020400c1	Jozefi mpe alongwaki na engumba Nazareti, kati na etuka ya Galile, mpo na kokende na Beteleemi, engumba ya Davidi, kati na etuka ya Yuda, pamba te azalaki moto ya ndako mpe ya libota ya Davidi.
2a0205006c	Akendeki kuna mpo na kokomisa kombo na ye mpe kombo ya Mari, mobandami na ye ya libala, oyo azalaki na zemi.
2a0206003b	Wana bazalaki na Beteleemi, mokolo na ye ya kobota ekokaki.
2a020700b4	Mari abotaki mwana mobali, mwana na ye ya liboso; alingaki ye na bilamba mpe alalisaki ye kati na elielo ya bibwele, pamba te esika ezalaki te mpo na bango kati na ndako ya bapaya.
2a02080093	Kati na etuka yango, ezalaki na babateli bibwele oyo bazalaki kolekisa babutu na bango kati na bilanga ya pembeni mpo na kobatela bitonga na bango.
2a02090072	Anjelu moko ya Nkolo abimelaki bango, mpe nkembo ya Nkolo engengaki zingazinga na bango; mpe bayokaki somo makasi.
2a020a0078	Kasi anjelu alobaki na bango: — Bobanga te! Namemeli bino sango moko ya malamu, oyo ekopesa bato nyonso esengo makasi.
2a020b0054	Mobikisi abotameli bino lelo, kati na engumba ya Davidi; Ye nde azali Masiya, Nkolo.
2a020c0092	Tala elembo oyo ekosunga bino mpo na koyeba Ye: bokomona mwana moko abotami sika, balingi ye na bilamba mpe balalisi ye kati na elielo ya bibwele.
2a020d0080	Mbala moko, ba-anjelu ebele ya mampinga ya Likolo bayaki kosangana na anjelu oyo ya liboso, bazalaki kokumisa Nzambe mpe koloba:
2a020e0064	«Nkembo na Nzambe kati na bisika oyo eleki likolo, mpe kimia na mabele kati na bato oyo alingaka!»
2a020f00d1	Tango ba-anjelu bakabwanaki na bango mpo na kozonga na Likolo, babateli bibwele balobanaki bango na bango: «Tokende kino na Beteleemi, mpo na kotala makambo oyo esalemi kuna, makambo oyo Nkolo ayebisi biso.»
