010000000d	1 Mojžišova
2b0c160057	Přišel Filip a pověděl Ondřejovi, Ondřej pak zase a Filip pověděli Ježíšovi.
2b0c170053	A Ježíš odpověděl jim, řka: Přišlať hodina, aby oslaven byl Syn člověka.
2b0c180082	Amen, amen pravím vám: Zrno pšeničné padna v zemi, neumře-li, onoť samo zůstane, a pakliť umře, mnohý užitek přinese.
2b0c19007b	Kdož miluje duši svou, ztratíť ji; a kdož nenávidí duše své na tomto světě, k životu věčnému ostříhá jí.
2b0c1a0082	Slouží-li mi kdo, následujž mne; a kdež jsem já, tuť i můj služebník bude. A bude-li mi kdo sloužiti, poctíť ho Otec.
2b0c1b007c	Nyní duše má zkormoucena jest, a což dím? Otče, vysvoboď mne z této hodiny. Ale proto jsem přišel k hodině této.
2b0c1c005b	Otče, oslaviž jméno své. Tedy přišel hlas s nebe: I oslavil jsem, i ještě oslavím.
2b0c1d0067	Ten pak zástup, kterýž tu stál a slyšel, pravil: Zahřmělo. Jiní pravili: Anděl k němu mluvil.
2b0c1e004c	Odpověděl Ježíš a řekl: Ne pro mneť hlas tento se stal, ale pro vás.
2b0c1f0050	Nyníť jest soud světa tohoto, nyní kníže světa tohoto vyvrženo bude ven.
2b0c20003d	A já budu-liť povýšen od země, všecky potáhnu k sobě.
2b0c21003e	(To pak pověděl, znamenaje, kterou by smrtí měl umříti.)
2b0c2200b3	Odpověděl jemu zástup: My jsme slýchali z zákona, že Kristus zůstává na věky, a kterakž ty pravíš, že musí býti povýšen Syn člověka? Kdo jest to Syn člověka?
2b0c2300a8	Tedy řekl jim Ježíš: Ještě na malý čas světlo s vámi jest. Choďte, dokud světlo máte, ať vás tma nezachvátí; nebo kdo chodí ve tmách, neví, kam jde.
2b0c24007c	Dokud světlo máte, věřte v světlo, abyste synové světla byli. Toto pověděl Ježíš, a odšed, skryl se před nimi.
2b0c25004b	A ačkoli tak mnohá znamení činil před nimi, však neuvěřili v něho,
2b0c260084	Aby se naplnila řeč Izaiáše proroka, kterouž pověděl: Pane, kdo uvěřil kázaní našemu, a rámě Páně komu jest zjeveno?
2b0c270033	Protoť nemohli věřiti, že opět Izaiáš řekl:
2b0c280082	Oslepil oči jejich, a zatvrdil srdce jejich, aby očima neviděli, a srdcem nerozuměli, a neobrátili se, abych jich neuzdravil.
2b0c290041	To pověděl Izaiáš, když viděl slávu jeho, a mluvil o něm.
2b0c2a0073	A ačkoli mnozí i z knížat uvěřili v něho, však pro farizee nevyznávali, aby ze školy nebyli vyobcování.
2b0c2b0036	Nebo milovali slávu lidskou více než slávu Boží.
2b0c2c0066	Ježíš pak zvolal a řekl: Kdo věří ve mne, ne ve mneť věří, ale v toho, kterýž mne poslal.
2b0c2d0033	A kdož vidí mne, vidí toho, kterýž mne poslal.
2b0c2e005a	Já světlo na svět jsem přišel, aby žádný, kdož věří ve mne, ve tmě nezůstal.
2b0c2f0086	A slyšel-liť by kdo slova má, a nevěřil by, jáť ho nesoudím; nebo nepřišel jsem, abych soudil svět, ale abych spasil svět.
2b0c300095	Kdož mnou pohrdá, a nepřijímá slov mých, máť, kdo by jej soudil. Slova, kteráž jsem mluvil, tať jej souditi budou v nejposlednější den.
2b0c310080	Nebo já sám od sebe jsem nemluvil, ale ten, kterýž mne poslal, Otec, on mi přikázaní dal, co bych měl praviti a mluviti.
2b0c320078	A vím, že přikázaní jeho jest život věčný. A protož, což já mluvím, jakž mi pověděl Otec, takť mluvím.
2b0d0100af	Před svátkem pak velikonočním, věda Ježíš, že přišla hodina jeho, aby šel z tohoto světa k Otci, milovav své, kteříž byli na světě, až do konce je miloval.
2b0d020068	A když večeřeli, (a ďábel již byl vnukl v srdce Jidáše Šimona Iškariotského, aby jej zradil,)
2b0d030054	Věda Ježíš, že jemu Otec všecko v ruce dal, a že od Boha vyšel a k Bohu jde,
2b0d040042	Vstal od večeře, a složil roucho, a vzav rouchu, přepásal se.
2b0d050070	Potom nalil vody do medenice, i počal umývati nohy učedlníků a vytírati rouchou, kterouž byl přepásán.
2b0d060052	Tedy přišel k Šimonovi Petrovi, a on řekl jemu: Pane, ty mi chceš nohy mýti?
2b0d070056	Odpověděl Ježíš a řekl jemu: Co já činím, ty nevíš nyní, ale potom zvíš.
2b0d080080	Dí jemu Petr: Nebudeš ty mýti noh mých na věky. Odpověděl jemu Ježíš: Neumyji-liť tebe, nebudeš míti dílu se mnou.
2b0d090042	Dí jemu Šimon Petr: Pane, netoliko nohy mé, ale i ruce i hlavu.
2b0d0a0084	Řekl jemu Ježíš: Kdož jest umyt, nepotřebuje, než aby nohy umyl; nebo čist jest všecken. I vy čisti jste, ale ne všickni.
2b0d0b0045	Nebo věděl o zrádci svém; protož řekl: Ne všickni čisti jste.
2b0d0c0076	Když pak umyl nohy jejich, a vzal roucho své, posadiv se za stůl zase, řekl jim: Víte-liž, co jsem učinil vám?
2b0d0d0047	Vy nazýváte mne Mistrem a Pánem, a dobře pravíte, jsemť zajisté.
2b0d0e0060	Poněvadž tedy já umyl jsem nohy vaše, Pán a Mistr, i vy máte jeden druhému nohy umývati.
2b0d0f0055	Příklad zajisté dal jsem vám, abyste, jakož jsem já učinil vám, i vy činili.
2b0d100076	Amen, amen pravím vám: Není služebník větší nad pána svého, ani posel větší nežli ten, kdož jej poslal.
2b0d11003f	Znáte-li tyto věci, blahoslavení jste, budete-li je činiti.
2b0d120098	Ne o všechť vás pravím. Já vím, které jsem vyvolil, ale musíť se naplniti písmo: Ten, kdož jí chléb se mnou, pozdvihl proti mně paty své.
2b0d13005d	Nyní pravím, vám, prvé než by se stalo, abyste, když se stane, uvěřili, že já jsem.
2b0d140095	Amen, amen pravím vám: Kdo přijímá toho, kohož bych já poslal, mneť přijímá; a kdož mne přijímá, přijímá toho, kterýž mne poslal.
2b0d150079	A to pověděv Ježíš, zkormoutil se v duchu, a osvědčil, řka: Amen, amen pravím vám, že jeden z vás mne zradí.
2b0d16004f	Tedy učedlníci vzhlédali na sebe vespolek, pochybujíce, o kom by to pravil.
2b0d17006c	Byl pak jeden z učedlníků Ježíšových, kterýž zpolehl na klíně jeho, ten, jehož miloval Ježíš.
2b0d180058	Protož tomu návěští dal Šimon Petr, aby se zeptal, kdo by to byl, o němž praví.
2b0d190047	A on odpočívaje na prsech Ježíšových, řekl jemu: Pane, kdo jest?
2b0d1a0091	Odpověděl Ježíš: Ten jest, komuž já omočené skyvy chleba podám. A omočiv skyvu chleba, podal Jidášovi, synu Šimona Iškariotského.
2b0d1b0069	A hned po té skyvě chleba vstoupil do něho satan. I řekl jemu Ježíš: Co činíš, čiň spěšně.
2b0d1c0049	Tomu pak žádný z přísedících nerozuměl, k čemu by jemu to řekl.
2b0d1d00b5	Nebo někteří se domnívali, poněvadž Jidáš měšec měl, že by jemu řekl Ježíš: Nakup těch věcí, kterýchž jest nám potřebí k svátku, aneb aby něco chudým dal.
2b0d1e0030	A on vzav skyvu chleba, hned vyšel, A byla noc.
2b0d1f0062	Když pak on vyšel, dí Ježíš: Nyníť oslaven jest Syn člověka, a Bůh oslaven jest v něm.
2b0d20005e	A poněvadž Bůh oslaven jest v něm, i Bůh oslaví jej sám v sobě, a to hned oslaví jej.
2b0d21009b	Synáčkové, ještě maličko s vámi jsem. Hledati mne budete, ale jakož jsem řekl Židům: Kam já jdu, vy nemůžete přijíti, i vám pravím nyní.
2b0d220080	Přikázaní nové dávám vám, abyste se milovali vespolek; jakož já miloval jsem vás, abyste i vy milovali jeden druhého.
2b0d23005e	Po tomť poznají všickni, že jste moji učedlníci, budete-li míti lásku jedni k druhým.
2b0d24007f	Dí jemu Šimon Petr: Pane, kam jdeš? Odpověděl mu Ježíš: Kam jdu, nemůžeš ty nyní jíti za mnou, ale půjdeš potom.
2b0d25005a	Dí jemu Petr: Pane, proč bych nemohl nyní jíti za tebou? Duši svou za tebe položím.
2b0d260085	Odpověděl jemu Ježíš: Duši svou za mne položíš? Amen, amen pravím tobě: Nezazpíváť kohout, až mne třikrát zapříš.
2b0e01003d	Nermutiž se srdce vaše. Věříte v Boha, i ve mne věřte.
2b0e020053	V domě Otce mého příbytkové mnozí jsou. Byť nebylo tak, pověděl bych vám.
2b0e03009d	Jduť, abych vám připravil místo. A když odejdu, a připravím vám místo, zase přijdu, a poberu vás k sobě samému, abyste, kde jsem já, i vy byli.
2b0e040024	A kam já jdu, víte, i cestu víte.
2b0e05004d	Dí jemu Tomáš: Pane, nevíme, kam jdeš. A kterak můžeme cestu věděti?
2b0e060067	Dí jemu Ježíš: Já jsem ta cesta, i pravda, i život. Žádný nepřichází k Otci než skrze mne.
2b0e07005c	Byste znali mne, také i Otce mého znali byste; a již nyní jej znáte, a viděli jste ho.
2b0e08003d	Řekl jemu Filip: Pane, ukaž nám Otce, a dostiť jest nám.
2b0e090093	Dí jemu Ježíš: Tak dlouhý čas s vámi jsem, a nepoznal jsi mne? Filipe, kdož vidí mne, vidí Otce, a kterakž ty pravíš: Ukaž nám Otce?
2b0e0a009c	Nevěříš, že já v Otci a Otec ve mně jest? Slova, kteráž já mluvím vám, sám od sebe nemluvím, ale Otec ve mně přebývaje, onť činí skutky.
2b0e0b005c	Věřtež mi, že jsem já v Otci a Otec ve mně; aneb aspoň pro ty samy skutky věřte mi.
2b0e0c009b	Amen, amen pravím vám: Kdož věří ve mne, skutky, kteréž já činím, i on činiti bude, a větší nad ty činiti bude; nebo já jdu k Otci svému.
2b0e0d0058	A jestliže byste co prosili ve jménu mém, toť učiním, aby oslaven byl Otec v Synu.
2b0e0e0036	Budete-li zač prositi ve jménu mém, jáť učiním.
2b0e0f0031	Milujete-li mne, přikázaní mých ostříhejte.
2b0e100058	A jáť prositi budu Otce, a jiného Utěšitele dá vám, aby s vámi zůstal na věky,
2b0e11008f	Toho Ducha pravdy, jehož svět nemůže přijíti. Nebo nevidí ho, aniž ho zná, ale vy znáte jej, neboť u vás přebývá, a v vás bude.
2b0e12002d	Neopustímť vás sirotků, přijduť k vám.
2b0e130069	Ještě maličko, a svět mne více neuzří, ale vy uzříte mne; nebo já živ jsem, i vy živi budete.
2b0e14004d	V ten den vy poznáte, že já jsem v Otci svém, a vy ve mně, a já v vás.
2b0e1500bf	Kdož by měl přikázaní má, a ostříhal jich, onť jest ten, kterýž mne miluje. A kdož mne miluje, milován bude od Otce mého, a jáť jej budu milovati, a zjevím jemu samého sebe.
2b0e160068	Řekl jemu Judas, ne onen Iškariotský: Pane, jakž jest to, že sebe nám zjeviti chceš, a ne světu?
2b0e1700a7	Odpověděl Ježíš a řekl jemu: Miluje-li mne kdo, slova mého ostříhati bude, a Otec můj bude jej milovati, a k němu přijdeme, a příbytek u něho učiníme.
2b0e18007f	Kdožť nemiluje mne, slov mých neostříhá; a slovo, kteréž slyšíte, neníť mé, ale toho, kterýž mne poslal, Otcovo.
2b0e19002a	Toto mluvil jsem vám, u vás přebývaje.
2b0e1a009a	Utěšitel pak, ten Duch svatý, kteréhož pošle Otec ve jménu mém, onť vás naučí všemu, a připomeneť vám všecko, což jsem koli mluvil vám.
2b0e1b0080	Pokoj zůstavuji vám, pokoj svůj dávám vám; ne jako svět dává, já dávám vám. Nermutiž se srdce vaše, ani strachuj.
2b0e1c00b4	Slyšeli jste, že já řekl jsem vám: Jdu, a zase přijdu k vám. Kdybyste mne milovali, radovali byste se jistě, že jsem řekl: Jdu k Otci; nebo Otec větší jest nežli já.
2b0e1d0057	A nyní pověděl jsem vám, prvé než by se stalo, abyste, když se stane, uvěřili.
2b0e1e005d	Již nemnoho mluviti budu s vámi; neboť jde kníže tohoto světa, ale nemáť nic na mně.
2b0e1f0068	Ale aby poznal svět, že miluji Otce, a jakož mi přikázal Otec, tak činím. Vstaňte, poďme odtud.
2b0f010039	Já jsem ten vinný kmen pravý, a Otec můj vinař jest.
2b0f020081	Každou ratolest, kteráž ve mně nenese ovoce, odřezuje, a každou, kteráž nese ovoce, čistí, aby hojnější ovoce nesla.
2b0f030039	Již vy čisti jste pro řeč, kterouž jsem mluvil vám.
2b0f04009b	Zůstaňtež ve mně, a já v vás. Jakož ratolest nemůže nésti ovoce sama od sebe, nezůstala-li by při kmenu, takž ani vy, leč zůstanete ve mně.
2b0f050088	Já jsem vinný kmen a vy ratolesti. Kdo zůstává ve mně, a já v něm, ten nese ovoce mnohé; nebo beze mne nic nemůžete učiniti.
2b0f06007f	Nezůstal-li by kdo ve mně, vyvržen bude ven jako ratolest, a uschneť, a budouť sebrány, a na oheň uvrženy, a shoříť.
2b0f07006d	Zůstanete-li ve mně, a slova má zůstanou-liť v vás, což byste koli chtěli, proste, a staneť se vám.
2b0f080057	V tomť bývá oslaven Otec můj, když ovoce nesete hojné, a budete moji učedlníci.
2b0f090051	Jakož miloval mne Otec, i já miloval jsem vás. Zůstaňtež v milování mém.
2b0f0a009c	Budete-li zachovávati přikázaní má, zůstanete v mém milování, jakož i já přikázaní Otce svého zachoval jsem, i zůstávám v jeho milování.
2b0f0b0054	Toto mluvil jsem vám, aby radost má zůstávala v vás, a radost vaše byla plná.
2b0f0c0056	Totoť jest přikázaní mé, abyste se milovali vespolek, jako já miloval jsem vás.
2b0f0d005c	Většího milování nad to žádný nemá, než aby duši svou položil za přátely své.
2b0f0e0043	Vy přátelé moji jste, učiníte-li to, což já přikazuji vám.
2b0f0f00c2	Nebudu vás více nazývati služebníky, nebo služebník neví, co by činil pán jeho. Ale vás jsem nazval přátely, nebo všecko, což jsem koli slyšel od Otce svého, oznámil jsem vám.
2b0f1000b5	Ne vy jste mne vyvolili, ale já jsem vás vyvolil, a postavil, abyste šli a ovoce přinesli, a ovoce vaše aby zůstalo, aby zač byste koli prosili Otce ve jménu mém, dal vám.
2b0f110032	Toto přikazuji vám, abyste se milovali vespolek.
2b0f120056	Jestližeť vás svět nenávidí, víte, žeť mne prvé než vás v nenávisti měl.
2b0f130093	Byste byli z světa, svět, což jest jeho, miloval by; že pak nejste z světa, ale já z světa vyvolil jsem vás, protož vás svět nenávidí.
2b0f1400da	Pamatujte na tu řeč, kterouž jsem já mluvil vám: Neníť služebník větší nežli pán jeho. Poněvadž se mně protivili, i vámť se protiviti budou; poněvadž řeči mé šetřili, i vaší šetřiti budou.
2b0f150056	Ale toto všecko učiní vám pro jméno mé; nebo neznají toho, kterýž mne poslal.
2b0f16006a	Kdybych byl nepřišel, a nemluvil jim, hříchu by neměli; ale nyní výmluvy nemají z hříchu svého.
2b0f170030	Kdož mne nenávidí, i Otceť mého nenávidí.
2b0f180091	Bych byl skutků nečinil mezi nimi, jichž žádný jiný nečinil, hříchu by neměli; ale nyní i viděli, i nenáviděli i mne i Otce mého.
2b0f190066	Ale aby se naplnila řeč, kteráž v zákoně jejich napsána jest: Že v nenávisti měli mne darmo.
2b0f1a0097	Když pak přijde ten Utěšitel, kteréhož já pošli vám od Otce, Duch pravdy, kterýž od Otce pochází, tenť svědectví vydávati bude o mně.
2b0f1b0046	Ano i vy svědectví vydávati budete, nebo od počátku se mnou jste.
2b1001002d	Toto mluvil jsem vám, abyste se nezhoršili.
2b10020085	Vypovědíť vás ze škol, ano přijdeť čas, že všeliký, kdož vás mordovati bude, domnívati se bude, že tím Bohu slouží.
2b10030036	A toť učiní vám proto, že nepoznali Otce ani mne.
2b100400b4	Ale toto mluvil jsem vám, abyste, když přijde ten čas, rozpomenuli se na to, že jsem já předpověděl vám. Tohoť pak jsem vám s počátku nemluvil, nebo jsem byl s vámi.
2b10050056	Nyní pak jdu k tomu, kterýž mne poslal, a žádný z vás neptá se mne: Kam jdeš?
2b10060042	Ale že jsem vám tyto věci mluvil, zámutek naplnil srdce vaše.
2b1007009e	Já pak pravdu pravím vám, že jest vám užitečné, abych já odšel. Nebo neodejdu-liť, Utěšitel nepřijde k vám; a pakliť odejdu, pošli ho k vám.
2b10080050	A onť přijda, obviňovati bude svět z hříchu, a z spravedlnosti, a z soudu.
2b1009002a	Z hříchu zajisté, že nevěří ve mne.
2b100a0045	A z spravedlnosti, proto že jdu k Otci, a již více neuzříte mne.
2b100b0041	Z soudu pak, proto že kníže tohoto světa již jest odsouzeno.
2b100c0045	Ještěť bych měl mnoho mluviti vám, ale nemůžete snésti nyní.
2b100d00bc	Když pak přijde ten Duch pravdy, uvedeť vás ve všelikou pravdu. Nebo nebude mluviti sám od sebe, ale cožkoli uslyší, toť mluviti bude; ano i budoucí věci zvěstovati bude vám.
2b100e0037	Onť mne oslaví; nebo z mého vezme, a zvěstuje vám.
2b100f005e	Všecko, cožkoli má Otec, mé jest. Protož jsem řekl, že z mého vezme, a zvěstuje vám.
2b10100052	Maličko, a neuzříte mne, a opět maličko, a uzříte mne; nebo já jdu k Otci.
2b101100a4	I řekli někteří z učedlníků jeho mezi sebou: Co jest to, že praví nám: Maličko, a neuzříte mne, a opět maličko, a uzříte mne, a že já jdu k Otci?
2b10120046	Protož pravili: Co jest to, že praví: Maličko? Nevíme, co praví.
2b101300a4	I poznal Ježíš, že se ho chtěli otázati. I řekl jim: O tom tížete mezi sebou, že jsem řekl: Maličko, a neuzříte mne, a opět maličko, a uzříte mne?
2b1014009c	Amen, amen pravím vám, že plakati a kvíliti budete vy, ale svět se bude radovati; vy pak se budete rmoutiti, ale zámutek váš obrátíť se v radost.
2b101500ae	Žena, když rodí, zámutek má, nebo přišla hodina její; ale když porodí děťátko, již nepamatuje na ssoužení, pro radost, proto že se narodil člověk na svět.
2b10160086	Protož i vy zámutek máte nyní, ale opět uzřím vás, a radovati se bude srdce vaše, a radosti vaší žádný neodejme od vás.
2b10170085	A v ten den nebudete se mne tázati o ničemž. Amen, amen pravím vám: Že zač byste koli prosili Otce ve jménu mém, dáť vám.
